,files,make,model,year,id
5083,Audi_R8_2020_195_20_610_52_10_76_48_174_13_AWD_2_2_2dr_ABE.jpg,Audi,R8,2020,ABE.jpg
40215,Nissan_Pathfinder_2014_39_20_260_35_6_77_69_197_20_FWD_7_4_SUV_ABJ.jpg,Nissan,Pathfinder,2014,ABJ.jpg
23985,Kia_Cadenza_2017_44_19_290_33_6_73_57_195_20_FWD_5_4_4dr_ABL.jpg,Kia,Cadenza,2017,ABL.jpg
50334,Toyota_Camry_2019_28_16_200_25_4_72_56_192_51_FWD_5_4_4dr_ABP.jpg,Toyota,Camry,2019,ABP.jpg
4438,Hyundai_Sonata_2012_28_18_270_20_4_72_57_189_22_FWD_5_4_4dr_ABP.jpg,Hyundai,Sonata,2012,ABP.jpg
16499,Toyota_Tacoma_2017_36_18_270_35_6_75_70_212_19_RWD_5_4_Pickup_ABQ.jpg,Toyota,Tacoma,2017,ABQ.jpg
35356,INFINITI_Q70_2015_52_18_330_37_6_72_59_194_18_AWD_5_4_4dr_ABQ.jpg,INFINITI,Q70,2015,ABQ.jpg
10451,Toyota_Corolla_2015_17_15_130_18_4_69_57_182_27_FWD_5_4_4dr_ABR.jpg,Toyota,Corolla,2015,ABR.jpg
47429,Chevrolet_Spark_2016_13_15_980_14_4_62_58_143_30_FWD_4_4_4dr_ABS.jpg,Chevrolet,Spark,2016,ABS.jpg
54600,BMW_X4_2019_60_19_350_30_6_76_63_187_20_AWD_5_4_SUV_ABV.jpg,BMW,X4,2019,ABV.jpg
49821,Mercedes-Benz_GLB Class_2020_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_ABV.jpg,Mercedes-Benz,GLB Class,2020,ABV.jpg
21288,Land Rover_Range Rover_2014_83_19_340_30_6_78_72_196_17_4WD_5_4_SUV_ABY.jpg,Land Rover,Range Rover,2014,ABY.jpg
28291,Chevrolet_Spark_2014_13_15_840_12_4_62_61_144_nan_FWD_4_4_4dr_ABY.jpg,Chevrolet,Spark,2014,ABY.jpg
11809,Ram_1500_2016_37_20_300_36_6_79_76_229_17_RWD_6_4_Pickup_ABZ.jpg,Ram,1500,2016,ABZ.jpg
35003,Chevrolet_Impala_2016_27_18_190_25_4_73_58_201_22_FWD_5_4_4dr_ABb.jpg,Chevrolet,Impala,2016,ABb.jpg
64336,Buick_Enclave_2020_56_20_310_36_6_78_69_204_17_AWD_7_4_SUV_ABb.jpg,Buick,Enclave,2020,ABb.jpg
34615,Chevrolet_Traverse_2012_31_17_280_36_6_78_70_205_16_AWD_8_4_SUV_ABc.jpg,Chevrolet,Traverse,2012,ABc.jpg
50314,Subaru_Impreza_2017_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_ABe.jpg,Subaru,Impreza,2017,ABe.jpg
3567,Audi_A5_2010_44_18_210_20_4_73_54_182_20_AWD_4_2_Convertible_ABh.jpg,Audi,A5,2010,ABh.jpg
58057,Mercedes-Benz_S Class_2016_163_20_570_55_8_75_56_198_15_AWD_4_2_2dr_ABj.jpg,Mercedes-Benz,S Class,2016,ABj.jpg
29613,BMW_5-Series_2020_53_18_250_20_4_73_58_194_nan_RWD_5_4_4dr_ABl.jpg,BMW,5-Series,2020,ABl.jpg
5652,Chevrolet_Equinox_2019_27_17_170_15_4_72_65_183_25_AWD_5_4_SUV_ABm.jpg,Chevrolet,Equinox,2019,ABm.jpg
33399,Chevrolet_Silverado 2500HD_2020_40_20_400_66_8_81_79_nan_nan_RWD_6_4_Pickup_ABr.jpg,Chevrolet,Silverado 2500HD,2020,ABr.jpg
328,Cadillac_ATS_2019_41_18_270_20_4_72_54_183_21_AWD_4_2_2dr_ABr.jpg,Cadillac,ATS,2019,ABr.jpg
36800,Subaru_WRX_2013_29_17_260_25_4_70_58_180_17_AWD_5_4_4dr_ABs.jpg,Subaru,WRX,2013,ABs.jpg
46759,Ford_Flex_2014_39_19_280_35_6_75_68_201_17_AWD_7_4_SUV_ABz.jpg,Ford,Flex,2014,ABz.jpg
23350,Mercedes-Benz_G Class_2011_124_19_500_55_8_73_76_184_11_4WD_5_4_SUV_ACA.jpg,Mercedes-Benz,G Class,2011,ACA.jpg
57308,Nissan_370Z_2012_33_18_330_37_6_72_51_167_19_RWD_2_2_2dr_ACB.jpg,Nissan,370Z,2012,ACB.jpg
19309,Volkswagen_Beetle_2010_19_16_150_25_5_67_59_161_20_FWD_4_2_2dr_ACC.jpg,Volkswagen,Beetle,2010,ACC.jpg
7961,Lexus_LS_2019_78_19_410_35_6_74_57_206_18_AWD_5_4_4dr_ACH.jpg,Lexus,LS,2019,ACH.jpg
4043,Subaru_Impreza_2011_18_16_170_25_4_68_58_180_20_AWD_5_4_4dr_ACH.jpg,Subaru,Impreza,2011,ACH.jpg
58251,Hyundai_Accent_2011_13_14_110_16_4_66_57_159_27_FWD_5_2_2dr_ACH.jpg,Hyundai,Accent,2011,ACH.jpg
26534,Mitsubishi_Mirage_2017_14_14_780_12_3_65_59_149_37_FWD_5_4_4dr_ACI.jpg,Mitsubishi,Mirage,2017,ACI.jpg
48699,Mercedes-Benz_E Class_2012_57_17_300_35_6_75_55_185_18_RWD_4_2_Convertible_ACI.jpg,Mercedes-Benz,E Class,2012,ACI.jpg
18905,Lexus_IS_2013_37_17_200_25_6_70_56_180_21_AWD_5_4_4dr_ACM.jpg,Lexus,IS,2013,ACM.jpg
32091,Mercedes-Benz_C Class_2014_38_17_200_18_4_69_54_180_nan_RWD_4_2_2dr_ACN.jpg,Mercedes-Benz,C Class,2014,ACN.jpg
58211,Mitsubishi_Outlander_2011_21_16_160_24_4_70_67_183_23_FWD_5_4_SUV_ACN.jpg,Mitsubishi,Outlander,2011,ACN.jpg
37745,Kia_Forte_2017_21_17_160_20_4_70_56_179_25_FWD_5_4_4dr_ACO.jpg,Kia,Forte,2017,ACO.jpg
16135,Chevrolet_Trax_2017_22_16_130_14_4_69_64_167_24_AWD_5_4_SUV_ACP.jpg,Chevrolet,Trax,2017,ACP.jpg
5346,GMC_Terrain_2013_36_18_180_24_4_72_66_185_20_AWD_5_4_SUV_ACS.jpg,GMC,Terrain,2013,ACS.jpg
37304,Ram_2500_2016_39_18_380_57_8_79_78_237_nan_RWD_6_4_Pickup_ACU.jpg,Ram,2500,2016,ACU.jpg
17066,Buick_Enclave_2013_40_18_280_36_6_79_70_201_16_AWD_7_4_SUV_ACU.jpg,Buick,Enclave,2013,ACU.jpg
15314,FIAT_500_2017_18_15_100_14_4_64_59_139_31_FWD_4_2_2dr_ACY.jpg,FIAT,500,2017,ACY.jpg
55842,Genesis_G90_2020_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_ACc.jpg,Genesis,G90,2020,ACc.jpg
35277,Kia_Rio_2011_12_14_110_16_4_66_57_166_28_FWD_5_4_4dr_ACe.jpg,Kia,Rio,2011,ACe.jpg
3870,Chevrolet_Cruze_2013_19_16_130_14_4_70_58_181_26_FWD_5_4_4dr_ACg.jpg,Chevrolet,Cruze,2013,ACg.jpg
21755,GMC_Canyon_2019_27_16_200_25_4_74_70_nan_20_RWD_5_4_Pickup_ACk.jpg,GMC,Canyon,2019,ACk.jpg
256,Chevrolet_Blazer_2019_45_20_300_36_6_76_67_191_18_AWD_5_4_SUV_ACo.jpg,Chevrolet,Blazer,2019,ACo.jpg
50631,Toyota_Highlander_2011_30_17_270_35_6_75_68_188_17_4WD_7_4_SUV_ACo.jpg,Toyota,Highlander,2011,ACo.jpg
56203,Buick_Lacrosse_2017_38_18_310_36_6_73_57_197_21_FWD_5_4_4dr_ACp.jpg,Buick,Lacrosse,2017,ACp.jpg
8504,Chevrolet_Tahoe_2014_43_17_320_53_8_79_76_nan_15_RWD_9_4_SUV_ACs.jpg,Chevrolet,Tahoe,2014,ACs.jpg
50482,Jeep_Cherokee_2015_27_17_180_24_4_73_66_182_21_4WD_5_4_SUV_ACw.jpg,Jeep,Cherokee,2015,ACw.jpg
50216,BMW_X5_2011_51_18_260_30_6_76_69_191_19_AWD_5_4_SUV_ACx.jpg,BMW,X5,2011,ACx.jpg
37510,BMW_X3_2011_36_17_240_30_6_74_65_183_19_AWD_5_4_SUV_ACz.jpg,BMW,X3,2011,ACz.jpg
43083,Subaru_Impreza_2012_18_15_140_20_4_68_57_180_27_AWD_5_4_4dr_ACz.jpg,Subaru,Impreza,2012,ACz.jpg
39819,Mercedes-Benz_S Class_2013_93_18_240_30_6_73_58_206_21_AWD_5_4_4dr_ADC.jpg,Mercedes-Benz,S Class,2013,ADC.jpg
44322,GMC_Canyon_2009_23_16_180_29_4_67_65_nan_18_RWD_6_4_Pickup_ADH.jpg,GMC,Canyon,2009,ADH.jpg
4811,Acura_NSX_2001_84_16_250_30_6_71_46_174_17_RWD_2_2_2dr_ADI.jpg,Acura,NSX,2001,ADI.jpg
46854,Lexus_NX_2016_36_17_230_20_4_73_64_182_22_AWD_5_4_SUV_ADI.jpg,Lexus,NX,2016,ADI.jpg
34884,Toyota_Tacoma_2019_37_18_270_35_6_75_70_212_19_RWD_5_4_Pickup_ADO.jpg,Toyota,Tacoma,2019,ADO.jpg
15019,BMW_4-Series_2017_50_18_240_20_4_71_54_182_23_RWD_4_2_Convertible_ADU.jpg,BMW,4-Series,2017,ADU.jpg
21077,Cadillac_ATS_2017_39_18_270_20_4_72_54_183_22_AWD_4_2_2dr_ADV.jpg,Cadillac,ATS,2017,ADV.jpg
28151,Audi_R8_2012_136_19_430_42_8_75_49_174_13_AWD_2_2_Convertible_ADZ.jpg,Audi,R8,2012,ADZ.jpg
34152,Porsche_Cayenne_2020_66_19_330_30_6_78_66_193_19_AWD_5_4_SUV_ADa.jpg,Porsche,Cayenne,2020,ADa.jpg
18140,BMW_X1_2016_34_18_220_20_4_71_63_174_22_AWD_5_4_SUV_ADa.jpg,BMW,X1,2016,ADa.jpg
46680,Nissan_Versa_2015_13_15_100_16_4_66_59_175_26_FWD_5_4_4dr_ADe.jpg,Nissan,Versa,2015,ADe.jpg
35138,Volvo_V60_2020_45_18_250_20_4_72_56_187_23_FWD_5_4_4dr_ADe.jpg,Volvo,V60,2020,ADe.jpg
33153,INFINITI_QX50_2015_36_18_320_37_6_71_61_182_17_AWD_5_4_SUV_ADh.jpg,INFINITI,QX50,2015,ADh.jpg
61247,Audi_A6_2014_43_17_220_20_4_73_57_193_25_FWD_5_4_4dr_ADi.jpg,Audi,A6,2014,ADi.jpg
57948,Genesis_G70_2020_37_18_250_20_4_72_55_184_20_AWD_5_4_4dr_ADi.jpg,Genesis,G70,2020,ADi.jpg
58159,Maserati_GranTurismo_2011_118_19_400_42_8_75_53_192_13_RWD_4_2_2dr_ADj.jpg,Maserati,GranTurismo,2011,ADj.jpg
34077,Toyota_Highlander_2017_36_18_300_35_6_75_68_192_30_AWD_8_4_SUV_ADj.jpg,Toyota,Highlander,2017,ADj.jpg
60697,Mercedes-Benz_CLS Class_2011_74_19_380_55_8_73_55_193_14_RWD_4_4_4dr_ADj.jpg,Mercedes-Benz,CLS Class,2011,ADj.jpg
16297,Subaru_Ascent_2019_31_18_260_24_4_76_71_196_21_AWD_8_4_SUV_ADm.jpg,Subaru,Ascent,2019,ADm.jpg
53575,Lexus_ES_2015_40_17_200_25_4_71_57_192_40_FWD_5_4_4dr_ADp.jpg,Lexus,ES,2015,ADp.jpg
57056,Nissan_Leaf_2011_33_16_100_nan_nan_69_61_175_nan_FWD_5_4_4dr_ADq.jpg,Nissan,Leaf,2011,ADq.jpg
44148,BMW_Z4_2020_49_18_250_20_4_73_51_170_24_RWD_2_2_Convertible_ADr.jpg,BMW,Z4,2020,ADr.jpg
13289,Nissan_Titan_2012_33_18_310_56_8_79_74_nan_13_RWD_6_4_Pickup_ADr.jpg,Nissan,Titan,2012,ADr.jpg
29290,Porsche_718_2019_82_20_360_25_4_70_50_173_19_RWD_2_2_Convertible_ADu.jpg,Porsche,718,2019,ADu.jpg
25185,Ford_Mustang_2020_46_19_480_50_8_75_54_188_nan_RWD_4_2_2dr_AEC.jpg,Ford,Mustang,2020,AEC.jpg
25621,Honda_Fit_2012_16_15_110_15_4_66_60_161_28_FWD_5_4_4dr_AEC.jpg,Honda,Fit,2012,AEC.jpg
37262,MINI_Clubman_2011_21_15_120_16_4_66_56_155_28_FWD_4_2_2dr_AED.jpg,MINI,Clubman,2011,AED.jpg
55341,FIAT_500_2011_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_nan_AEH.jpg,FIAT,500,2011,AEH.jpg
45645,Ford_Explorer_2011_30_17_290_35_6_78_70_197_17_4WD_7_4_SUV_AEJ.jpg,Ford,Explorer,2011,AEJ.jpg
6353,Chevrolet_Cruze_2019_26_16_130_16_nan_70_57_175_30_FWD_5_4_4dr_AEM.jpg,Chevrolet,Cruze,2019,AEM.jpg
25711,Toyota_Tundra_2015_35_18_310_46_8_79_76_228_14_4WD_6_4_Pickup_AER.jpg,Toyota,Tundra,2015,AER.jpg
32161,Mercedes-Benz_AMG GT_2017_111_19_450_40_8_76_50_179_16_RWD_2_2_2dr_AEU.jpg,Mercedes-Benz,AMG GT,2017,AEU.jpg
36787,Kia_Optima_2013_23_17_200_24_4_72_57_190_24_FWD_5_4_4dr_AEU.jpg,Kia,Optima,2013,AEU.jpg
53942,Mercedes-Benz_E Class_2020_81_19_420_30_6_73_56_190_20_AWD_4_2_Convertible_AEV.jpg,Mercedes-Benz,E Class,2020,AEV.jpg
39351,BMW_X6_2011_57_19_300_30_6_78_66_192_16_AWD_4_4_SUV_AEX.jpg,BMW,X6,2011,AEX.jpg
283,FIAT_500e_2015_31_15_110_nan_nan_64_60_142_nan_FWD_4_2_2dr_AEY.jpg,FIAT,500e,2015,AEY.jpg
33392,Lincoln_MKZ_2019_38_18_180_20_4_73_58_194_42_FWD_5_4_4dr_AEZ.jpg,Lincoln,MKZ,2019,AEZ.jpg
8492,Toyota_Yaris_2013_15_15_100_15_4_66_59_153_30_FWD_5_2_2dr_AEe.jpg,Toyota,Yaris,2013,AEe.jpg
39031,Subaru_Outback_2015_24_17_170_25_4_72_66_189_25_AWD_5_4_SUV_AEg.jpg,Subaru,Outback,2015,AEg.jpg
15301,Mazda_MX-5 Miata_2013_27_17_150_20_4_67_49_157_21_RWD_2_2_Convertible_AEi.jpg,Mazda,MX-5 Miata,2013,AEi.jpg
35241,GMC_Terrain_2011_26_17_180_24_4_72_66_185_20_AWD_5_4_SUV_AEi.jpg,GMC,Terrain,2011,AEi.jpg
21204,Mercedes-Benz_Metris_2019_26_17_200_20_4_75_75_202_21_RWD_2_3_Van_AEs.jpg,Mercedes-Benz,Metris,2019,AEs.jpg
24195,Chevrolet_Cruze_2016_19_15_150_14_4_70_57_183_30_FWD_5_4_4dr_AEt.jpg,Chevrolet,Cruze,2016,AEt.jpg
3806,Chevrolet_Camaro_2012_30_18_320_36_6_75_54_190_17_RWD_4_2_Convertible_AEv.jpg,Chevrolet,Camaro,2012,AEv.jpg
3629,Audi_A3_2016_36_17_170_18_4_70_55_175_24_FWD_4_2_Convertible_AEx.jpg,Audi,A3,2016,AEx.jpg
54325,Subaru_Forester_2011_21_16_170_25_4_70_65_179_21_AWD_5_4_SUV_AFA.jpg,Subaru,Forester,2011,AFA.jpg
20428,Ram_2500_2012_36_17_380_57_8_79_73_nan_nan_RWD_6_4_Pickup_AFB.jpg,Ram,2500,2012,AFB.jpg
11523,Lexus_LX_2010_76_20_380_57_8_77_75_196_12_4WD_8_4_SUV_AFC.jpg,Lexus,LX,2010,AFC.jpg
40436,Nissan_Versa_2011_12_14_100_16_4_66_60_176_25_FWD_5_4_4dr_AFE.jpg,Nissan,Versa,2011,AFE.jpg
22923,Lexus_LS_2013_74_18_360_46_8_73_58_200_16_AWD_5_4_4dr_AFH.jpg,Lexus,LS,2013,AFH.jpg
12165,Nissan_Frontier_2014_31_18_260_40_6_72_70_219_16_RWD_5_4_Pickup_AFI.jpg,Nissan,Frontier,2014,AFI.jpg
52812,Chevrolet_Volt_2019_33_17_140_15_4_71_56_180_43_FWD_5_4_4dr_AFI.jpg,Chevrolet,Volt,2019,AFI.jpg
55288,BMW_X6_2015_72_19_440_44_8_78_66_192_15_AWD_5_4_SUV_AFI.jpg,BMW,X6,2015,AFI.jpg
39582,Aston Martin_Vantage_2012_195_19_510_59_12_73_48_172_11_RWD_2_2_2dr_AFL.jpg,Aston Martin,Vantage,2012,AFL.jpg
6548,Honda_Ridgeline_2017_42_18_280_35_6_78_70_210_18_AWD_5_4_Pickup_AFM.jpg,Honda,Ridgeline,2017,AFM.jpg
21629,Audi_A5_2011_42_18_210_20_4_73_54_182_22_FWD_4_2_Convertible_AFQ.jpg,Audi,A5,2011,AFQ.jpg
34803,Ford_F-150_2019_52_18_390_50_8_79_75_231_17_RWD_5_4_Pickup_AFR.jpg,Ford,F-150,2019,AFR.jpg
43025,Hyundai_Palisade_2020_46_20_290_38_6_77_68_196_19_AWD_7_4_SUV_AFU.jpg,Hyundai,Palisade,2020,AFU.jpg
54954,Jeep_Compass_2019_25_18_180_24_4_73_64_173_22_4WD_5_4_SUV_AFV.jpg,Jeep,Compass,2019,AFV.jpg
47988,Chevrolet_Silverado 2500HD_2011_36_17_360_60_8_80_78_nan_nan_RWD_6_4_Pickup_AFY.jpg,Chevrolet,Silverado 2500HD,2011,AFY.jpg
30715,Lincoln_Navigator_2015_61_20_380_35_6_78_78_207_16_RWD_7_4_SUV_AFe.jpg,Lincoln,Navigator,2015,AFe.jpg
45486,GMC_Sierra 1500_2014_34_17_280_43_6_80_74_nan_18_RWD_6_4_Pickup_AFe.jpg,GMC,Sierra 1500,2014,AFe.jpg
25529,Lexus_LX_2017_89_20_380_57_8_78_73_199_13_4WD_8_4_SUV_AFe.jpg,Lexus,LX,2017,AFe.jpg
53233,Chevrolet_Suburban_2011_41_17_320_53_8_79_76_nan_15_RWD_9_4_SUV_AFf.jpg,Chevrolet,Suburban,2011,AFf.jpg
49096,Audi_TT_2015_40_18_210_20_4_72_53_165_22_AWD_4_2_2dr_AFj.jpg,Audi,TT,2015,AFj.jpg
49978,Mercedes-Benz_S Class_2015_119_19_440_47_8_74_55_197_16_AWD_4_2_2dr_AFl.jpg,Mercedes-Benz,S Class,2015,AFl.jpg
31565,Mercedes-Benz_AMG GT_2016_129_19_500_40_8_76_50_179_16_RWD_2_2_2dr_AFt.jpg,Mercedes-Benz,AMG GT,2016,AFt.jpg
51317,Audi_A8_2017_82_19_330_30_6_76_57_207_19_AWD_5_4_4dr_AFt.jpg,Audi,A8,2017,AFt.jpg
46093,Nissan_Maxima_2017_40_18_300_35_6_73_56_192_21_FWD_5_4_4dr_AFv.jpg,Nissan,Maxima,2017,AFv.jpg
7694,Maserati_Quattroporte_2017_145_20_520_38_8_76_58_207_15_RWD_5_4_4dr_AFz.jpg,Maserati,Quattroporte,2017,AFz.jpg
9221,Rolls-Royce_Ghost_2012_246_19_560_66_12_76_61_212_13_RWD_5_4_4dr_AGA.jpg,Rolls-Royce,Ghost,2012,AGA.jpg
48969,Dodge_Charger_2015_33_20_370_57_8_75_58_198_16_RWD_5_4_4dr_AGA.jpg,Dodge,Charger,2015,AGA.jpg
5386,Mercedes-Benz_SL Class_2020_91_19_360_30_6_73_51_182_20_RWD_2_2_Convertible_AGC.jpg,Mercedes-Benz,SL Class,2020,AGC.jpg
23783,Lexus_ES_2020_41_17_210_25_4_73_56_195_43_FWD_5_4_4dr_AGF.jpg,Lexus,ES,2020,AGF.jpg
63218,Buick_Lacrosse_2013_31_17_180_24_4_73_59_196_25_FWD_5_4_4dr_AGG.jpg,Buick,Lacrosse,2013,AGG.jpg
14043,Porsche_Cayenne_2014_56_18_240_30_6_76_67_190_20_AWD_5_4_SUV_AGI.jpg,Porsche,Cayenne,2014,AGI.jpg
3694,Mercedes-Benz_C Class_2016_65_18_460_40_8_72_56_187_18_RWD_5_4_4dr_AGN.jpg,Mercedes-Benz,C Class,2016,AGN.jpg
46689,Porsche_911_2011_88_18_340_36_6_71_51_175_18_RWD_4_2_Convertible_AGQ.jpg,Porsche,911,2011,AGQ.jpg
29281,Kia_Soul_2014_20_18_160_20_4_70_63_163_23_FWD_5_4_4dr_AGW.jpg,Kia,Soul,2014,AGW.jpg
23696,Mazda_MX-5 Miata_2010_27_17_150_20_4_67_49_157_21_RWD_2_2_Convertible_AGl.jpg,Mazda,MX-5 Miata,2010,AGl.jpg
12400,Jaguar_F-Type_2017_66_18_340_30_6_75_51_176_20_RWD_2_2_Convertible_AGl.jpg,Jaguar,F-Type,2017,AGl.jpg
56525,Nissan_Murano_2015_40_20_260_35_6_75_66_192_21_AWD_5_4_SUV_AGm.jpg,Nissan,Murano,2015,AGm.jpg
25118,Jeep_Grand Cherokee_2012_29_17_290_36_6_76_69_189_16_4WD_5_4_SUV_AGn.jpg,Jeep,Grand Cherokee,2012,AGn.jpg
11418,Subaru_WRX_2015_31_17_260_20_4_70_58_180_19_AWD_5_4_4dr_AGo.jpg,Subaru,WRX,2015,AGo.jpg
12279,Chevrolet_Trax_2020_22_16_130_14_4_69_65_167_24_AWD_5_4_SUV_AGs.jpg,Chevrolet,Trax,2020,AGs.jpg
46607,Subaru_Legacy_2014_21_16_170_25_4_71_59_187_24_AWD_5_4_4dr_AGs.jpg,Subaru,Legacy,2014,AGs.jpg
6668,Hyundai_Sonata_2019_23_16_170_16_4_73_58_191_28_FWD_5_4_4dr_AHE.jpg,Hyundai,Sonata,2019,AHE.jpg
27042,Audi_A6_2013_42_17_210_20_4_73_57_193_25_FWD_5_4_4dr_AHI.jpg,Audi,A6,2013,AHI.jpg
16956,Lincoln_MKT_2010_49_20_350_35_6_76_67_207_16_AWD_7_4_4dr_AHL.jpg,Lincoln,MKT,2010,AHL.jpg
17773,Rolls-Royce_Dawn_2016_335_20_560_66_12_76_59_208_12_RWD_4_2_Convertible_AHM.jpg,Rolls-Royce,Dawn,2016,AHM.jpg
7073,Toyota_Camry_2015_22_16_170_25_4_71_57_190_25_FWD_5_4_4dr_AHM.jpg,Toyota,Camry,2015,AHM.jpg
9627,Mercedes-Benz_CLS Class_2017_108_19_550_55_8_74_55_196_16_AWD_4_4_4dr_AHN.jpg,Mercedes-Benz,CLS Class,2017,AHN.jpg
25631,Audi_R8_2015_175_19_520_52_10_75_49_174_13_AWD_2_2_Convertible_AHO.jpg,Audi,R8,2015,AHO.jpg
27240,Cadillac_CT4_2020_32_17_230_20_4_71_56_187_nan_RWD_5_4_4dr_AHT.jpg,Cadillac,CT4,2020,AHT.jpg
40949,Aston Martin_Vantage_2019_149_20_500_40_8_76_50_175_18_RWD_2_2_2dr_AHT.jpg,Aston Martin,Vantage,2019,AHT.jpg
54469,Jaguar_F-Pace_2017_41_18_180_20_4_76_65_186_26_AWD_5_4_SUV_AHU.jpg,Jaguar,F-Pace,2017,AHU.jpg
61429,Lincoln_Navigator_2013_57_18_310_54_8_78_78_nan_14_RWD_7_4_SUV_AHY.jpg,Lincoln,Navigator,2013,AHY.jpg
58489,Cadillac_CTS_2016_47_17_260_20_4_72_57_195_21_AWD_5_4_4dr_AHg.jpg,Cadillac,CTS,2016,AHg.jpg
32718,Jaguar_XE_2019_41_17_180_20_4_77_56_183_30_AWD_5_4_4dr_AHj.jpg,Jaguar,XE,2019,AHj.jpg
7899,Honda_Fit_2015_18_16_130_15_4_67_60_160_32_FWD_5_4_4dr_AHl.jpg,Honda,Fit,2015,AHl.jpg
9456,Nissan_Sentra_2016_18_16_130_18_4_69_58_182_30_FWD_5_4_4dr_AHm.jpg,Nissan,Sentra,2016,AHm.jpg
36690,GMC_Sierra 2500HD_2011_43_18_360_60_8_80_78_nan_nan_RWD_6_4_Pickup_AHm.jpg,GMC,Sierra 2500HD,2011,AHm.jpg
22325,Maserati_GranTurismo_2010_118_19_400_42_8_75_53_192_12_RWD_4_2_2dr_AHm.jpg,Maserati,GranTurismo,2010,AHm.jpg
20305,Honda_Civic_2015_21_16_140_18_4_69_55_177_29_FWD_5_2_2dr_AHo.jpg,Honda,Civic,2015,AHo.jpg
15065,Lincoln_Continental_2017_65_20_330_27_6_75_58_201_17_AWD_5_4_4dr_AHq.jpg,Lincoln,Continental,2017,AHq.jpg
